id;descricao;inicio;fim;tipo_calendario_id;dre_id_eol;ue_id_eol;status;criado_em;bimestre
1306;Retificação 3;2016-11-21 00:00:00.000;2016-11-30 00:00:00.000;3;108700;093718;1;2016-11-24 17:35:35.043;3
1307;1º bim. - retificações;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109000;019277;1;2016-11-18 20:26:02.763;1
1308;2º bim. - retificações;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109000;019277;1;2016-11-18 20:26:51.827;2
1309;3º bimestre - Retificações;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109000;019277;1;2016-11-18 20:28:41.020;3
1310;1º bimestre - Correções de pendências;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;109000;019277;1;2016-06-29 15:49:05.560;1
1311;1º bimestre - retificação;2016-12-12 00:00:00.000;2016-12-16 00:00:00.000;3;109000;019277;1;2016-12-12 21:13:59.407;1
1312;1º bim. - retificação;2016-12-12 00:00:00.000;2016-12-16 00:00:00.000;3;109000;019277;1;2016-12-12 21:15:04.097;1
1313;2 bim. - retificações;2016-12-12 00:00:00.000;2016-12-15 00:00:00.000;3;109000;019277;1;2016-12-13 09:24:57.597;2
1314;3 bim - retificações;2016-12-12 00:00:00.000;2016-12-15 00:00:00.000;3;109000;019277;1;2016-12-13 09:31:09.203;3
1315;Reabertura do 1º Bimestre;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109200;019460;1;2016-12-07 11:15:07.960;1
1316;Reabertura  2º Bimestre;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109200;019460;1;2016-12-07 11:17:53.837;2
1317;Fechamento do 1º bimestre;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;109200;019460;1;2016-06-13 15:07:15.543;1
1318;reabertura do 2º Bimestre;2016-10-03 00:00:00.000;2016-10-09 00:00:00.000;3;109200;019460;1;2016-10-03 14:36:58.770;2
1319;Fechamento do Bimestre;2016-12-14 00:00:00.000;2016-12-19 00:00:00.000;3;108400;094170;1;2016-12-16 19:11:08.303;1
1320;CORREÇÃO DE PENDÊNCIAS 1º BIMESTRE;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;108600;095397;1;2016-06-14 07:40:48.533;1
1321;correção de pendencia 3º bimestre;2016-11-24 00:00:00.000;2016-11-30 00:00:00.000;3;108600;095397;1;2016-11-25 08:17:52.443;3
1322;Correção pendência 2ª bimestre;2016-11-24 00:00:00.000;2016-11-30 00:00:00.000;3;108600;095397;1;2016-11-25 08:19:40.837;1
1323;Correções 1º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108600;095001;1;2016-11-10 13:37:19.387;1
1324;Correções 2º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108600;095001;1;2016-11-10 13:40:29.830;2
1325;Correções 3º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108600;095001;1;2016-11-10 13:41:08.567;3
1326;Correções de Pendências 1º Bimestre;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;108600;095001;1;2016-06-30 10:41:20.350;1
1327;Acertos 1º Bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108600;095001;1;2016-12-20 08:27:31.567;1
1328;Acertos 2º Bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108600;095001;1;2016-12-20 08:30:14.793;2
1329;Correções 1º Bim.;2016-12-08 00:00:00.000;2016-12-12 00:00:00.000;3;108600;095001;1;2016-12-08 14:29:51.860;1
1330;Correções 3º Bim.;2016-12-08 00:00:00.000;2016-12-12 00:00:00.000;3;108600;095001;1;2016-12-08 14:31:32.067;3
1331;Correções 2º Bim.;2016-12-08 00:00:00.000;2016-12-12 00:00:00.000;3;108600;095001;1;2016-12-08 14:34:19.513;2
1332;correções de bimestres;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108800;094889;1;2016-11-19 07:30:07.080;1
1333;correção 2 bimestre;2016-11-21 00:00:00.000;2016-11-30 00:00:00.000;3;108800;094889;1;2016-11-21 15:17:04.460;2
1334;correção 3 bimestre;2016-11-21 00:00:00.000;2016-11-30 00:00:00.000;3;108800;094889;1;2016-11-21 15:34:46.567;3
1335;Correção fechamento 1º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108700;010103;1;2016-11-22 09:36:44.247;1
1336;Correção fechamento 2º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108700;010103;1;2016-11-22 09:37:41.310;2
1337;Correção fechamento 3º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108700;010103;1;2016-11-22 09:38:35.090;3
1338;Pendências 2º Bimestre;2016-09-26 00:00:00.000;2016-10-09 00:00:00.000;3;108700;010103;1;2016-09-26 09:12:16.430;2
1339;Retificação do 1º Bim;2016-07-08 00:00:00.000;2016-07-08 00:00:00.000;3;108300;093327;1;2016-07-08 10:03:23.743;1
1340;Retificação 1º Bim_Plano de Aula;2016-06-20 00:00:00.000;2016-06-30 00:00:00.000;3;108300;093327;1;2016-06-20 12:41:47.600;1
1341;Retificação_1ºBimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108300;093327;1;2016-11-10 15:00:42.927;1
1342;Retificação_2º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108300;093327;1;2016-11-10 15:01:33.057;2
1343;Retificação_3ºBimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108300;093327;1;2016-11-10 15:02:03.480;3
1344;RETIFICAÇÕES GERAIS 2º BIMESTRE;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108900;093971;1;2016-11-17 07:19:26.787;2
1345;RETIFICAÇÕES GERAIS 1º BIMESTRE;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108900;093971;1;2016-11-17 07:20:22.163;1
1346;RETIFICAÇÕES GERAIS 3º BIMESTRE;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108900;093971;1;2016-11-17 07:21:02.087;3
1347;Retificações do 2º Bimestre;2016-09-16 00:00:00.000;2016-10-09 00:00:00.000;3;108900;093971;1;2016-09-28 18:21:39.497;2
1348;Reabertura do Fechamento do 2º Bimestre;2016-09-16 00:00:00.000;2016-10-09 00:00:00.000;3;109200;019425;1;2016-09-21 16:11:33.037;2
1349;Correção de Pendências do 1º bimestre;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;109200;019425;1;2016-06-14 15:41:02.077;1
1350;Reabertura do fechamento do 2º bimestre;2016-09-16 00:00:00.000;2016-10-09 00:00:00.000;3;109200;095559;1;2016-09-27 17:57:00.460;2
1351;REABERTURA DO FECHAMENTO DO 1º BIMESTRE;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109200;095559;1;2016-11-22 16:25:27.900;1
1352;Reabertura do fechamento do 2º bimestre II;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109200;095559;1;2016-11-22 16:25:58.730;2
1353;REABERTURA DO FECHAMENTO DO 3º BIMESTRE;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109200;095559;1;2016-11-22 16:26:25.293;3
1354;Fechamento dos registros do 1º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109300;093734;1;2016-11-16 10:16:07.353;1
1355;Fechamento dos registros do 2º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109300;093734;1;2016-11-16 10:17:59.497;2
1356;Fechamento dos registros do 3º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109300;093734;1;2016-11-16 10:20:06.733;3
